STDIV,PDSI_DEV_2016,PDSI_DEV_2014,PDSI_DEV_2012,PDSI_DEV_2007,PDSI_DEV_2002
1001,1.65,-0.72,0.63,4.31,-0.82
1002,2.18,-0.12,0.09,4.35,-0.14
1003,1.46,-0.56,0.93,4,0.07
1004,2.17,-1.26,1.03,4.73,0.39
1005,1.42,-1.27,2.33,3.99,1.38
1006,1.16,-0.57,0.74,3.74,0.95
1007,0.81,-0.4,0.63,3.2,1.14
1008,-0.18,-0.66,0.78,2.08,0.98
2001,-0.18,2.13,1.19,4.35,4.61
2002,0.16,2.46,2.93,4.04,5.3
2003,0.2,2.04,2.45,4.51,4.67
2004,0.98,2.68,3.34,3.9,5.19
2005,1.5,0.55,0.34,2.81,3.6
2006,1.71,2.02,3.1,3.13,4.32
2007,0.97,1.06,3.21,2.55,4.14
3001,1.26,0.29,3.03,1.22,-0.32
3002,-1.35,-0.04,2.02,0.66,-0.93
3003,-1.48,-0.85,2.38,0.4,-1.57
3004,1.01,-0.8,1.95,-0.12,0.07
3005,-0.83,-0.29,1.85,0.29,0.84
3006,0.21,-0.77,0.74,1.5,-1.53
3007,-1.45,-1.53,3.6,0.43,0.83
3008,-0.74,-0.05,1.9,0.45,0.11
3009,-0.88,-1.05,1.18,2.13,-0.04
4001,-0.79,2.56,0.24,2.53,1.96
4002,-0.6,3.06,0.61,3.06,2.1
4003,-1.43,3.45,2.34,3.68,3.31
4004,0.79,5.88,1.66,3.48,0.9
4005,0.74,6.24,2.6,3.76,1.68
4006,3.65,6.27,2.42,4.89,4.23
4007,1.66,3.14,1.64,4.35,3.93
5001,0.67,1.25,5.15,-0.88,4.43
5002,0.08,-1.12,3.81,0.22,6.67
5003,-1.1,0.46,3.67,0.08,3.45
5004,-0.71,-3.54,3.62,1.42,5.4
5005,0.37,0.67,4.96,-2.03,6.18
6001,3.42,0.54,2.53,0.41,1.63
6002,3.73,0.93,2.19,0.62,1.21
6003,4.14,2.53,2.26,0.28,1.08
7001,1.42,-0.87,1.32,0.38,2.81
7002,-0.72,-0.88,1.39,1.28,1.13
8001,0.05,-0.52,1.35,3.11,1
8002,1.23,-1.84,0.08,4.02,0.65
8003,0.7,-1.62,1.8,3.29,-0.85
8004,-1.23,-1.28,0.35,3.23,-1.09
8005,-0.22,0.81,-0.13,3.08,-0.27
