STDIV,YEAR,MONTH,PDSI
1001,1968,1,3.66
1001,1969,1,-1.11
1001,1970,1,-0.67
1001,1971,1,0.13
1001,1972,1,0.84
1001,1973,1,2.0
1001,1974,1,3.83
1001,1975,1,2.56
1001,1976,1,3.56
1001,1977,1,-0.9
1001,1978,1,-0.75
1001,1979,1,0.88
1001,1980,1,2.29
1001,1981,1,-2.05
1001,1982,1,1.05
1001,1983,1,-0.54
1001,1984,1,1.83
1001,1985,1,-1.08
1001,1986,1,-2.1
1001,1987,1,1.69
1001,1988,1,-2.06
1001,1989,1,1.89
1001,1990,1,3.9
1001,1991,1,1.82
1001,1992,1,-0.65
1001,1993,1,-0.31
1001,1994,1,0.61
1001,1995,1,-0.49
1001,1996,1,1.33
1001,1997,1,2.03
1001,1998,1,2.91
1001,1999,1,1.49
1001,2000,1,-2.28
1001,2001,1,0.65
1001,2002,1,2.94
1001,2003,1,0.94
1001,2004,1,-0.87
1001,2005,1,-0.51
1001,2006,1,-0.55
1001,2007,1,-1.78
1001,2008,1,-4.62
1001,2009,1,0.84
1001,2010,1,-0.13
1001,2011,1,-1.51
1001,2012,1,1.5
1001,2013,1,0.86
1001,2014,1,-0.79
1001,2015,1,1.62
1001,2016,1,-0.25
1001,2017,1,-2.49
1002,1968,1,4.0
1002,1969,1,0.32
1002,1970,1,-1.04
1002,1971,1,-0.59
1002,1972,1,1.32
1002,1973,1,1.57
1002,1974,1,2.74
1002,1975,1,1.79
1002,1976,1,2.57
1002,1977,1,1.64
1002,1978,1,-0.47
1002,1979,1,0.8
1002,1980,1,2.32
1002,1981,1,-2.43
1002,1982,1,1.01
1002,1983,1,-0.62
1002,1984,1,1.81
1002,1985,1,-1.1
1002,1986,1,-1.84
1002,1987,1,-1.08
1002,1988,1,-2.29
1002,1989,1,1.48
1002,1990,1,3.55
1002,1991,1,0.2
1002,1992,1,-1.14
1002,1993,1,2.68
1002,1994,1,0.29
1002,1995,1,-0.52
1002,1996,1,3.01
1002,1997,1,1.92
1002,1998,1,2.95
1002,1999,1,0.9
1002,2000,1,-2.32
1002,2001,1,0.58
1002,2002,1,0.09
1002,2003,1,1.28
1002,2004,1,-1.01
1002,2005,1,-0.86
1002,2006,1,-1.02
1002,2007,1,-1.83
1002,2008,1,-5.33
1002,2009,1,1.09
1002,2010,1,-0.01
1002,2011,1,-1.72
1002,2012,1,2.01
1002,2013,1,1.71
1002,2014,1,-0.77
1002,2015,1,-0.32
1002,2016,1,-0.45
1002,2017,1,-3.82
1003,1968,1,3.52
1003,1969,1,-0.87
1003,1970,1,-0.63
1003,1971,1,-0.97
1003,1972,1,2.24
1003,1973,1,1.2
1003,1974,1,3.66
1003,1975,1,3.25
